sku_interno,descripcion_corta,marca,precio_costo,precio_venta,moneda,cantidad_stock,fotos_extra,video_url,tema,etiquetas,descripcion_seria,descripcion_marciana,alto_cm,largo_cm,ancho_cm,peso_g,pais_origen,status,last_ingest_at,last_ml_sync_at,last_ai_sync_at
ABY-SET-NAR-VPV,Aby Style Set De Vaso y porta vasos Naruto Shippuden,Aby Style,,,MXN,3.0,,nan,Accesorios,nan,,,,,,,nan,,,,
AUD-BST-GP9-AZU,Audifonos Con Microfono Sonido Envolvente GPRO9 Profesional Azul,BEAST,,,MXN,1.0,,nan,Accesorios,nan,,,18.0,15.0,7.0,,nan,,,,
AUD-BST-SSR-AZU,Audifonos Gamer Diadema Microfono Sonido Envolvente Azul,BEAST,,,MXN,2.0,,nan,Accesorios,nan,,,20.0,18.0,8.0,,nan,,,,
BIO-LON-PEL-CHU,Bioworld Lonchera Edición Especial Child's Play Good Guys Chucky,Bioworld,,,MXN,3.0,,nan,Accesorios,nan,,,25.0,20.0,10.0,,nan,,,,
KRO-BOL-ESO-PWI,Bolsa It Pennywise Phunny Fanny Pack,Kidrobot,,,MXN,4.0,,nan,Accesorios,nan,,,15.0,30.0,5.0,,nan,,,,
DNP-CAL-OPI-024,Calendario One Piece 2024 Danpex,Danpex,,,MXN,1.0,,nan,Accesorios,nan,,,30.0,21.0,1.0,,nan,,,,
PNN-COL-DBS-C2S,Coleccionador Dragon Ball Super TCG Con 2 sobres Panini,Panini,,,MXN,3.0,,nan,Accesorios,nan,,,15.0,10.0,2.0,,nan,,,,
PNN-COM-MKN-CM1,Comic Moon Knight La Congregación de la Medianoche 1 Panini,Panini,,,MXN,1.0,,nan,Accesorios,nan,,,28.0,20.0,1.0,,nan,,,,
PNN-COM-SAC-PC1,Comic Strange Academy Primera Clase 1 Panini,Panini,,,MXN,2.0,,nan,Accesorios,nan,,,28.0,20.0,1.0,,nan,,,,
PNN-COM-XME-H16,Comic X Men Hellfire Gala Vol.16 Panini,Panini,,,MXN,1.0,,nan,Accesorios,nan,,,28.0,20.0,1.0,,nan,,,,
RPG-BRT-LIB-PER,Devir Broken Tales 14 Cazadores del Libro Clasico Y Hoja del Jugador,Devir Broken,,,MXN,2.0,,nan,Accesorios,nan,,,24.0,17.0,2.0,,nan,,,,
FIG-CON-TEL-AST,Figura Vixen Astro Telescope Nanoblock Advanced Figure Last of inventory,Vixen,,,MXN,1.0,,nan,Accesorios,nan,,,7.0,5.0,5.0,,nan,,,,
GEK-MPA-BOB-CAL,Geek Industry Alfombra Para Ratón Mousepad Bob Esponja Calamardo,Geek Industry,,,MXN,2.0,,nan,Accesorios,nan,,,25.0,20.0,0.5,,nan,,,,
GEK-MPA-BOB-PAT,Geek Industry Alfombra Para Ratón Mousepad Bob Esponja Patricio Estrella,Geek Industry,,,MXN,1.0,,nan,Accesorios,nan,,,25.0,20.0,0.5,,nan,,,,
GEK-MPA-BOB-PLA,Geek Industry Alfombra Para Ratón Mousepad Bob Esponja Plankton,Geek Industry,,,MXN,4.0,,nan,Accesorios,nan,,,25.0,20.0,0.5,,nan,,,,
GEK-HAR-LLA-PHE,Geek Industry Llavero De Peluche Cute Harry Potter Hedwing,Geek Industry,,,MXN,6.0,,nan,Accesorios,nan,,,10.0,6.0,3.0,,nan,,,,
GEK-HAR-LLA-PVO,Geek Industry Llavero De Peluche Cute Harry Potter Voldemort,Geek Industry,,,MXN,2.0,,nan,Accesorios,nan,,,10.0,6.0,3.0,,nan,,,,
GEK-HAR-LLV-HU2,Geek Industry Llavero Edición Especial Logo Hufflepuf 2,Geek Industry,,,MXN,2.0,,nan,Accesorios,nan,,,10.0,6.0,3.0,,nan,,,,
GEK-MPA-DRA-ESF,Geek Industry Mousepad Dragon Ball Esfera del Dragon,Geek Industry,,,MXN,1.0,,nan,Accesorios,nan,,,25.0,20.0,0.5,,nan,,,,
GEK-MPA-DRA-NUB,Geek Industry Mousepad Dragon Ball Nube Voladora,Geek Industry,,,MXN,2.0,,nan,Accesorios,nan,,,25.0,20.0,0.5,,nan,,,,
GEK-NOT-DRA-VSS,Geek Industry Notas Adhesivas Dragon Ball Z Vegueta Super Saiyajin 100 Notas,Geek Industry,,,MXN,1.0,,nan,Accesorios,nan,,,9.0,9.0,2.0,,nan,,,,
GEK-PIN-MYS-HAP,Geek Industry Pin Metálico Coleccionable Mistery Harry Potter,Geek Industry,,,MXN,3.0,,nan,Accesorios,nan,,,5.0,5.0,0.3,,nan,,,,
GEK-PIN-MYS-BET,Geek Industry Pines mistery Beetlejuice,Geek Industry,,,MXN,16.0,,nan,Accesorios,nan,,,5.0,5.0,0.3,,nan,,,,
